Date and Time,ASTEP,ATIME,GAIN,LED Status,LED Intensity,Test,Seconds,Milliseconds,Type,F1 (Basic),F2 (Basic),F3 (Basic),F4 (Basic),F5 (Basic),F6 (Basic),F7 (Basic),F8 (Basic),Clear (Basic),NIR (Basic),Type,F1 (Raw),F2 (Raw),F3 (Raw),F4 (Raw),F5 (Raw),F6 (Raw),F7 (Raw),F8 (Raw),Clear (Raw),NIR (Raw),Measurement Type,,,,
2104/5/32 (Monday) 30:7:22,999,255,9,LED Status,LED Intensity,6,21,21491,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,134,592,57,19,14,17,16,11,562,0,chlorophyll a,,,,
2104/5/32 (Monday) 30:7:26,999,255,9,LED Status,LED Intensity,6,25,25481,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,131,589,57,20,13,16,15,11,559,0,chlorophyll a,,,,
2104/5/32 (Monday) 30:7:30,999,255,9,LED Status,LED Intensity,6,29,29470,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,131,587,58,19,14,18,15,10,557,0,chlorophyll a,,,,
2104/5/32 (Monday) 30:7:34,999,255,9,LED Status,LED Intensity,6,33,33459,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,131,585,57,20,14,17,15,11,558,0,chlorophyll a,,,,
2104/5/32 (Monday) 30:7:38,999,255,9,LED Status,LED Intensity,6,37,37448,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,130,585,57,20,13,16,15,11,559,0,chlorophyll a,,,,
2104/5/32 (Monday) 30:7:42,999,255,9,LED Status,LED Intensity,6,41,41437,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,130,586,57,20,14,16,15,11,559,0,chlorophyll a,,,,
2104/5/32 (Monday) 30:7:46,999,255,9,LED Status,LED Intensity,6,45,45427,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,130,587,57,20,15,16,15,11,559,0,chlorophyll a,,,,
2104/5/32 (Monday) 30:7:50,999,255,9,LED Status,LED Intensity,6,49,49414,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,131,588,57,20,13,17,15,11,558,0,chlorophyll a,,,,
2104/5/32 (Monday) 30:7:54,999,255,9,LED Status,LED Intensity,6,53,53402,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,129,587,57,20,13,16,15,11,558,0,chlorophyll a,,,,
2104/5/32 (Monday) 30:7:58,999,255,9,LED Status,LED Intensity,6,57,57391,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,129,586,57,20,13,17,15,12,556,0,chlorophyll a,,,,
2104/5/32 (Monday) 30:8:2,999,255,9,LED Status,LED Intensity,6,61,61380,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,130,584,58,20,14,16,15,11,557,0,chlorophyll a,,,,
2104/5/32 (Monday) 30:8:6,999,255,9,LED Status,LED Intensity,6,65,65369,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,130,586,57,20,14,17,15,11,559,0,chlorophyll a,,,,
2104/5/32 (Monday) 30:8:10,999,255,9,LED Status,LED Intensity,6,69,69358,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,130,587,57,20,14,17,16,11,559,0,chlorophyll a,,,,
2104/5/32 (Monday) 30:8:14,999,255,9,LED Status,LED Intensity,6,73,73347,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,130,588,57,19,14,16,15,11,558,0,chlorophyll a,,,,
2104/5/32 (Monday) 30:8:18,999,255,9,LED Status,LED Intensity,6,77,77336,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,134,601,59,20,14,17,15,11,568,0,chlorophyll a,,,,
2104/5/32 (Monday) 30:8:22,999,255,9,LED Status,LED Intensity,6,81,81324,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,131,592,58,20,14,16,15,11,563,0,chlorophyll a,,,,
2104/5/32 (Monday) 30:8:31,999,255,9,LED Status,LED Intensity,6,90,90313,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,1,5,4,4,2,11,2,0,409,1468,turbidity,,,,
2104/5/32 (Monday) 30:8:35,999,255,9,LED Status,LED Intensity,6,94,94301,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,1,3,3,4,3,11,2,1,404,1458,turbidity,,,,
2104/5/32 (Monday) 30:8:39,999,255,9,LED Status,LED Intensity,6,98,98289,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,1,4,4,4,1,11,1,1,402,1460,turbidity,,,,
2104/5/32 (Monday) 30:8:43,999,255,9,LED Status,LED Intensity,6,102,102277,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,1,5,4,4,2,10,2,1,403,1464,turbidity,,,,
2104/5/32 (Monday) 30:8:47,999,255,9,LED Status,LED Intensity,6,106,106266,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,1,5,3,4,2,11,2,1,404,1466,turbidity,,,,
2104/5/32 (Monday) 30:8:51,999,255,9,LED Status,LED Intensity,6,110,110255,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,2,4,3,4,2,11,2,1,402,1462,turbidity,,,,
2104/5/32 (Monday) 30:8:55,999,255,9,LED Status,LED Intensity,6,114,114244,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,1,4,3,4,1,10,2,1,400,1452,turbidity,,,,
2104/5/32 (Monday) 30:8:59,999,255,9,LED Status,LED Intensity,6,118,118232,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,2,4,3,4,2,11,1,1,399,1454,turbidity,,,,
2104/5/32 (Monday) 30:9:3,999,255,9,LED Status,LED Intensity,6,122,122221,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,1,3,3,6,1,11,1,0,403,1462,turbidity,,,,
2104/5/32 (Monday) 30:9:7,999,255,9,LED Status,LED Intensity,6,126,126210,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,1,3,4,4,2,11,1,1,401,1462,turbidity,,,,
2104/5/32 (Monday) 30:9:11,999,255,9,LED Status,LED Intensity,6,130,130198,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,1,3,4,4,2,10,2,2,399,1452,turbidity,,,,
2104/5/32 (Monday) 30:9:15,999,255,9,LED Status,LED Intensity,6,134,134187,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,1,4,4,5,2,11,2,0,400,1456,turbidity,,,,
2104/5/32 (Monday) 30:9:19,999,255,9,LED Status,LED Intensity,6,138,138176,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,1,4,4,4,1,10,2,1,402,1460,turbidity,,,,
2104/5/32 (Monday) 30:9:23,999,255,9,LED Status,LED Intensity,6,142,142165,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,1,4,3,4,1,12,1,1,404,1468,turbidity,,,,
2104/5/32 (Monday) 30:9:27,999,255,9,LED Status,LED Intensity,6,146,146154,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,2,4,2,4,1,11,2,1,403,1462,turbidity,,,,
2104/5/32 (Monday) 30:9:30,999,255,9,LED Status,LED Intensity,6,150,150142,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,1,4,4,4,1,10,2,1,400,1456,turbidity,,,,
Date and Time,ASTEP,ATIME,GAIN,LED Status,LED Intensity,Test,Seconds,Milliseconds,Type,F1 (Basic),F2 (Basic),F3 (Basic),F4 (Basic),F5 (Basic),F6 (Basic),F7 (Basic),F8 (Basic),Clear (Basic),NIR (Basic),Type,F1 (Raw),F2 (Raw),F3 (Raw),F4 (Raw),F5 (Raw),F6 (Raw),F7 (Raw),F8 (Raw),Clear (Raw),NIR (Raw),Measurement Type,,,,
2104/5/32 (Monday) 30:15:25,999,255,9,LED Status,LED Intensity,6,4,4549,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,133,579,55,20,14,18,16,12,556,0,chlorophyll a,,11,0.6875,10.3125
2104/5/32 (Monday) 30:15:29,999,255,9,LED Status,LED Intensity,6,8,8538,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,131,578,56,19,13,16,14,11,554,0,chlorophyll a,,,,
2104/5/32 (Monday) 30:15:33,999,255,9,LED Status,LED Intensity,6,12,12528,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,132,580,54,20,13,17,15,11,556,0,chlorophyll a,,,,
2104/5/32 (Monday) 30:15:37,999,255,9,LED Status,LED Intensity,6,16,16516,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,131,580,55,20,13,15,15,11,553,0,chlorophyll a,,,,
2104/5/32 (Monday) 30:15:41,999,255,9,LED Status,LED Intensity,6,20,20505,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,129,577,56,20,13,15,15,11,550,0,chlorophyll a,,,,
2104/5/32 (Monday) 30:15:45,999,255,9,LED Status,LED Intensity,6,24,24502,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,129,578,56,20,13,16,15,11,552,0,chlorophyll a,,,,
2104/5/32 (Monday) 30:15:49,999,255,9,LED Status,LED Intensity,6,28,28491,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,130,578,56,20,13,17,15,11,552,0,chlorophyll a,,,,
2104/5/32 (Monday) 30:15:53,999,255,9,LED Status,LED Intensity,6,32,32481,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,130,578,56,20,13,17,14,11,549,0,chlorophyll a,,,,
2104/5/32 (Monday) 30:15:57,999,255,9,LED Status,LED Intensity,6,36,36469,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,129,578,57,19,13,16,15,11,552,0,chlorophyll a,,,,
2104/5/32 (Monday) 30:16:1,999,255,9,LED Status,LED Intensity,6,40,40456,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,130,582,57,20,13,16,15,10,552,0,chlorophyll a,,,,
2104/5/32 (Monday) 30:16:5,999,255,9,LED Status,LED Intensity,6,44,44445,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,130,581,56,19,13,17,15,11,551,0,chlorophyll a,,,,
