Date and Time,ASTEP,ATIME,GAIN,LED Status,LED Intensity,Test,Seconds,Milliseconds,Type,F1 (Basic),F2 (Basic),F3 (Basic),F4 (Basic),F5 (Basic),F6 (Basic),F7 (Basic),F8 (Basic),Clear (Basic),NIR (Basic),Type,F1 (Raw),F2 (Raw),F3 (Raw),F4 (Raw),F5 (Raw),F6 (Raw),F7 (Raw),F8 (Raw),Clear (Raw),NIR (Raw),Measurement Type,,Average,Blank,,,
2104/5/32 (Monday) 30:6:17,999,255,9,LED Status,LED Intensity,6,17,17056,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,109,528,46,6,3,7,10,10,466,0,chlorophyll a,,11.125,,,11.125,0
2104/5/32 (Monday) 30:6:21,999,255,9,LED Status,LED Intensity,6,21,21046,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,108,529,46,5,2,8,10,10,466,0,chlorophyll a,,,,,46.3125,5
2104/5/32 (Monday) 30:6:25,999,255,9,LED Status,LED Intensity,6,25,25034,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,108,527,47,6,2,8,10,10,465,0,chlorophyll a,,,,,90.6875,10
2104/5/32 (Monday) 30:6:29,999,255,9,LED Status,LED Intensity,6,29,29023,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,108,527,46,6,2,9,10,11,465,0,chlorophyll a,,,,,168.1875,20
2104/5/32 (Monday) 30:6:33,999,255,9,LED Status,LED Intensity,6,33,33011,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,109,527,46,5,3,7,10,11,465,0,chlorophyll a,,,,,386.5,50
2104/5/32 (Monday) 30:6:37,999,255,9,LED Status,LED Intensity,6,36,36999,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,108,527,46,5,2,8,10,11,465,0,chlorophyll a,,,,,763.4375,100
2104/5/32 (Monday) 30:6:41,999,255,9,LED Status,LED Intensity,6,40,40989,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,107,525,47,5,3,7,10,11,464,0,chlorophyll a,,,,,,
2104/5/32 (Monday) 30:6:45,999,255,9,LED Status,LED Intensity,6,44,44977,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,107,527,46,5,3,7,10,11,464,0,chlorophyll a,,,,,,
2104/5/32 (Monday) 30:6:49,999,255,9,LED Status,LED Intensity,6,48,48966,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,108,527,47,5,2,7,11,12,466,0,chlorophyll a,,,,,,
2104/5/32 (Monday) 30:6:53,999,255,9,LED Status,LED Intensity,6,52,52955,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,108,529,46,6,2,7,11,12,467,0,chlorophyll a,,,,,,
2104/5/32 (Monday) 30:6:57,999,255,9,LED Status,LED Intensity,6,56,56943,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,108,528,47,5,3,8,11,11,467,0,chlorophyll a,,,,,,
2104/5/32 (Monday) 30:7:1,999,255,9,LED Status,LED Intensity,6,60,60932,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,106,527,47,5,2,7,9,12,466,0,chlorophyll a,,,,,,
2104/5/32 (Monday) 30:7:5,999,255,9,LED Status,LED Intensity,6,64,64921,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,108,527,47,5,2,7,10,12,466,0,chlorophyll a,,,,,,
2104/5/32 (Monday) 30:7:9,999,255,9,LED Status,LED Intensity,6,68,68910,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,107,528,46,6,3,7,10,11,466,0,chlorophyll a,,,,,,
